,Lat.1.j.,Long.1.j.,Elevation_ds,cz_ds,MAT_ds,MAP_ds,VPD_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
164,-39.90312891,-59.06264735,-75,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,26.96280123,-61.81345537,-6047,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,-10.02771729,-37.27784431,147,As,24.74733321,661,29.63999987,225310,26,19,55,0.0126,22.3,0.0235,6.1,4.36
167,-32.92579513,71.0785171,-4524,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,-85.61936012,-6.909066997,NA,EF,-41.0740002,28,0.24,156104,NA,NA,NA,NA,NA,NA,NA,NA
169,-50.63111276,-89.02947695,-4782,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,12.55629273,-72.46858056,-829,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,53.94543708,62.018007,211,Dfb,2.842666705,366,7.49999997,142745,31,41.4,27.6,0.0105,45.1,0.0494,6.9,10.9
172,65.29239697,83.89358841,66,Dfc,-6.966999925,517,5.04999996,107566,22.8,28.1,49.1,0.0052,52.5,0.1129,5.1,21.05
173,53.38890983,-1.588862166,255,Cfb,8.200000008,1087,10.86000001,112711,25.4,36.6,38,0.0095,29.9,0.0798,5.8,12.36
174,19.50344799,-33.18844677,-4997,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,29.93958424,89.00768911,4611,ET,1.694000016,347,3.849999983,203825,13.4,36.2,50.4,0.0117,15,0.0418,7.1,3.38
176,-25.32690669,-96.51971586,-2856,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,20.91596938,-169.0412956,-5129,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,3.910749118,-122.732565,-4424,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,-72.29112503,-2.821280882,100,EF,-17.66100021,185,1.209999993,146935,NA,NA,NA,NA,NA,NA,NA,NA
180,-69.07930788,178.2110734,-3552,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,-14.22134168,17.70748258,1499,BSh,18.91233325,1068,15.3499999,216557,15.6,8.2,76.2,0.0133,9.8,0.0092,5.5,1.37
182,5.802550485,26.54574266,681,Aw,25.2803332,1444,25.86000049,210376,34.6,20.7,44.7,0.0125,11.7,0.0173,5.7,2.83
183,-63.0258911,176.7453808,-3807,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,52.29038282,139.908548,50,Dfb,-1.789999846,532,7.309999965,144762,30.7,36.4,32.8,0.0113,39.5,0.0979,6.9,7.43
185,-29.28578669,158.9826417,-1889,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,40.76676012,100.1025442,1111,BWk,8.642000104,64,5.879999921,205694,27.8,37.9,34.3,0.0144,18.6,0.014,8.2,0.71
187,5.338193437,-59.05512937,106,Af,26.51866674,2104,33.32000017,209408,33.3,23,43.8,0.0117,16,0.0282,4.7,3.35
188,16.73902456,-109.8738239,-3569,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,-8.47053356,-134.6027057,-4572,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,-58.28565893,31.60766375,-5457,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,-2.020445347,93.23212615,-4712,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,0.354542975,-23.88903416,-3963,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,50.21250378,108.2093142,1151,Dwc,-2.198666836,357,5.710000034,152194,17.6,24.2,58.2,0.0091,26,0.1334,6.3,18.63
194,-55.42191074,102.8056886,-3702,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,-8.662108347,-136.9545879,-4289,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,16.68387073,-18.03969596,-2858,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,52.06166344,-34.33894378,-3497,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,26.25985436,171.1347848,-6044,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,-2.680681913,108.8914182,-40,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,58.57847203,70.57349805,94,Dfc,-0.123333388,476,7.030000113,118643,25.7,32.3,42,0.0075,50.4,0.0825,5.7,11.36
201,-68.79547714,62.50148063,-213,EF,-30.05600023,258,1.700000022,149127,NA,NA,NA,NA,NA,NA,NA,NA
202,-62.24841513,133.3921131,-4357,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,-15.08211879,-93.57419489,-3924,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,36.47185288,-155.2023267,-5690,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
