Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
US-Rws,43.1675,-116.7132,1425,1432,OSH,Bsk,BSk,8.9,8.46,290,309,190294,15,53.7,31.3,0.0134,20.2,0.0113,7.3,1.39
US-Sag,69.5131,-148.5676,170,165,WET,Dfc,Dfc,-8,-10.35,121,179,82018,24.1,60.1,15.8,0.0052,76.8,0.1233,6.5,33.31
US-SB1,37.5734,-79.0848,242,269,ENF,Cfa,Cfa,12.7,13.13,1016,1097,175366,27.2,40.8,32.1,0.0124,16.1,0.0352,5,5.35
US-SB2,37.5607,-79.0883,240,269,CRO,Cfa,Cfa,12.7,13.13,1016,1097,175417,26.3,42.7,31.1,0.0128,16.4,0.0351,5.7,4.66
US-SB3,37.5752,-79.0872,253,276,BSV,Cfa,Cfa,12.7,13.13,1016,1097,175274,24.3,41.4,34.4,0.0123,17.6,0.038,4.9,5.65
US-SCc,33.6094,-116.4505,1280,1316,OSH,NA,BWh,NA,15.13,NA,359,229524,10.5,25.7,63.8,0.0134,15.5,0.0142,6.7,1.3
US-SCd,33.6518,-116.3721,275,371,BSV,NA,BWh,NA,20.06,NA,173,230737,22.3,29.7,48,0.0141,12.7,0.0053,8,0.45
US-SCf,33.8079,-116.7717,1770,1692,MF,NA,Csa,NA,11.98,NA,709,227822,8.9,21,70,0.0113,18.2,0.0402,6.2,5.07
US-SCg,33.7365,-117.6946,465,323,GRA,NA,Csa,NA,16.89,NA,412,214742,20.9,30,49.1,0.0141,19.8,0.0318,6.8,2.06
US-SCs,33.7343,-117.6959,470,323,OSH,NA,Csa,NA,16.89,NA,412,214742,22.6,30.5,47,0.0138,20.2,0.0324,6.8,2.14
US-SCw,33.6047,-116.4527,1281,1220,OSH,NA,BWh,NA,15.13,NA,359,229206,10.7,26.6,62.8,0.0131,15.6,0.0151,6.8,1.22
US-SdH,42.0693,-101.4072,1081,1078,GRA,Dsb,Dfa,NA,8.56,NA,487,180808,26.9,24.5,48.6,0.0132,16.2,0.0321,6.8,3.27
US-SDU,39.6594,-105.0127,1618,1632,URB,Bsk,Dfb,10.04,10.35,406,437,198498,NA,NA,NA,NA,NA,NA,NA,NA
US-Seg,34.3623,-106.702,1596,1602,GRA,Bsk,BSk,13.667,13.02,273.304,255,234567,16,23.5,60.6,0.0143,10.4,0.0082,8.1,1
US-Ses,34.3349,-106.7442,1604,1576,OSH,Bsk,BSk,13.722,13.02,275.082,248,234853,20.3,26.8,52.8,0.0148,12.4,0.0084,8.1,0.84
US-SFP,43.2408,-96.902,386,385,CRO,NA,Dfa,NA,8.06,NA,621,167874,29.9,44.8,25.4,0.0142,25.7,0.027,6.8,2.72
US-SHC,39.4315,-120.2398,1934,2032,ENF,Dsb,Csb,5.3,5.77,827,825,205024,28.1,44.4,27.5,0.0099,49.9,0.0888,6.2,13.86
US-Shd,36.9333,-96.6833,346,358,GRA,Cfa,Cfa,14.32,14.25,897.91,903,188564,31.5,49.4,19.2,0.0148,21.1,0.0359,5.9,2.84
US-SHS,40.8052,-74.0457,1,6,WET,Cfa,Cfa,13.5,12.13,1120,1218,161844,9.9,37.7,52.5,0.0121,30.7,0.0687,5.7,12.91
US-Si1,38.1747,-121.5047,-3.8,-1,CRO,Csb,Csa,15,15.49,328.1,404,203792,40.5,48.4,11.1,0.013,59.2,0.0708,6.4,11.8
US-Si2,38.1758,-121.5167,-3.8,-1,CRO,Csb,Csa,15,15.49,328.1,404,203708,37.4,50.7,11.9,0.0129,61.3,0.0639,6.4,10.45
US-SJ1,33.6623,-117.8514,3,16,WET,NA,Csa,NA,17.21,NA,320,210628,22,31.4,46.7,0.0138,21,0.0432,7,4.61
US-SJ2,33.6596,-117.855,3,15,WET,NA,Csa,NA,17.21,NA,320,210628,22.5,33.1,44.4,0.014,22.1,0.0348,7.4,4.44
US-Skr,25.3629,-81.0776,NA,16,EBF,Cwa,Aw,23.77,24.05,1259,1239,214720,26.8,36.5,36.7,0.0032,40.8,0.1064,6.7,16.97
US-Slt,39.9138,-74.596,30,35,DBF,Dfa,Cfa,11.04,11.72,1138,1162,166962,9.8,24.5,65.7,0.0128,25.7,0.0583,4.4,9.88
US-SM1,36.3934,-100.9537,897,920,CRO,Bsk,BSk,12.9,13.36,559,502,208156,29.7,51,19.3,0.0151,22.1,0.0163,7.3,1.51
